propID,sessID,transID,checkinDate,AP,LOS,cityCd,shopDate,rating,prefType,long,lat,booked,spotlight,num_prop_display,total_prop_display,minRate,wifi,pool,shuttle,fitness,breakfast,restaurant,parking
100176,0001480628983880B86EDCA000000000,B86EDCA0,12/14/2016,13,1,NYC,12/1/2016,4 CROWN,,-74.013777,40.709288,0,0,4,5,683.1,1,0,0,1,0,1,1
100176,0001481141181793D84870A000000000,D84870A0,12/14/2016,7,1,NYC,12/7/2016,4 CROWN,,-74.013777,40.709288,0,0,3,5,629,1,0,0,1,0,1,1
100176,0001483134752587AF6A69A000000000,AF6A69A0,1/10/2017,11,1,NYC,12/30/2016,4 CROWN,,-74.013777,40.709288,1,0,4,5,325,1,0,0,1,0,1,1
100176,0001482341638361407FD0A000000000,407FD0A0,1/15/2017,25,4,NYC,12/21/2016,4 CROWN,,-74.013777,40.709288,0,0,4,4,238.95,1,0,0,1,0,1,1
100176,000148296387868294029DB000000000,94029DB0,1/2/2017,5,4,NYC,12/28/2016,4 CROWN,,-74.013777,40.709288,0,0,4,5,183.9,1,0,0,1,0,1,1
100176,000148067297969764758CB000000000,64758CB0,4/2/2017,121,1,NYC,12/2/2016,4 CROWN,NA,-74.013777,40.709288,0,NA,NA,NA,296.1,1,0,0,1,0,1,1
100176,0001483022904565B793EBA000000000,B793EBA0,1/4/2017,6,1,NYC,12/29/2016,4 CROWN,,-74.013777,40.709288,0,0,1,5,NA,1,0,0,1,0,1,1
100176,0001482440345737189AC4B000000000,189AC4B0,2/6/2017,46,1,NYC,12/22/2016,4 CROWN,NA,-74.013777,40.709288,1,NA,NA,NA,293.55,1,0,0,1,0,1,1
100176,000148296387868294029DB000000000,94029DB0,1/2/2017,5,4,NYC,12/28/2016,4 CROWN,,-74.013777,40.709288,0,0,4,5,183.9,1,0,0,1,0,1,1
100176,000148096962375992D2ABB000000000,92D2ABB0,12/13/2016,8,1,NYC,12/5/2016,4 CROWN,,-74.013777,40.709288,0,0,4,42,575.1,1,0,0,1,0,1,1
100176,0001481131992222B86EDCA000000000,B86EDCA0,12/13/2016,6,1,NYC,12/7/2016,4 CROWN,,-74.013777,40.709288,0,0,1,5,584.1,1,0,0,1,0,1,1
100586,0001482245141455726A9EA000000000,726A9EA0,1/15/2017,26,6,NYC,12/20/2016,3 CROWN,,-74.012593,40.704049,1,0,4,4,152.1,1,0,0,1,0,0,1
100586,0001482335019254AE7F43A000000000,AE7F43A0,1/11/2017,21,1,NYC,12/21/2016,3 CROWN,,-74.012593,40.704049,1,0,1,1,NA,1,0,0,1,0,0,1
100586,0001482335019254AE7F43A000000000,AE7F43A0,1/11/2017,21,1,NYC,12/21/2016,3 CROWN,,-74.012593,40.704049,1,0,1,1,NA,1,0,0,1,0,0,1
100586,0001482335019254AE7F43A000000000,AE7F43A0,1/11/2017,21,1,NYC,12/21/2016,3 CROWN,,-74.012593,40.704049,1,0,1,1,NA,1,0,0,1,0,0,1
10078,D1C29871673E758DA028BBA000000000,A028BBA0,12/11/2016,4,4,ATL,12/7/2016,2 CROWN,,-83.764264,32.878255,0,0,30,30,NA,1,1,0,0,1,0,1
100782,0001482959737215F9EA57A000000000,F9EA57A0,8/6/2017,221,3,LAX,12/28/2016,4 CROWN,AMXE,-118.3764,34.0698,1,0,1,1,563.7,1,1,0,1,0,1,1
100782,0001482959737215F9EA57A000000000,F9EA57A0,8/6/2017,221,3,LAX,12/28/2016,4 CROWN,AMXE,-118.3764,34.0698,1,0,1,1,563.7,1,1,0,1,0,1,1
100800,0001482342970078722F70C000000000,722F70C0,12/28/2016,7,1,CHI,12/21/2016,4 CROWN,,-88.202097,41.808271,0,0,2,17,134.1,1,0,0,1,0,1,1
101460,000148164620478587E376D000000000,87E376D0,7/11/2017,210,3,ATL,12/13/2016,4 CROWN,SPOT,-84.366016,33.847431,0,1,1,3,229,1,1,0,1,0,1,1
101460,00014830206216228C87A1A000000000,8C87A1A0,1/5/2017,7,1,ATL,12/29/2016,4 CROWN,NA,-84.366016,33.847431,1,NA,NA,NA,148.72,1,1,0,1,0,1,1
101460,0001480947610656F5DA8CF000000000,F5DA8CF0,12/6/2016,1,1,ATL,12/5/2016,4 CROWN,SPOT,-84.366016,33.847431,0,1,1,12,NA,1,1,0,1,0,1,1
101460,0001482349059991C4028CB000000000,C4028CB0,1/5/2017,15,1,ATL,12/21/2016,4 CROWN,SPOT,-84.366016,33.847431,0,1,1,3,148.72,1,1,0,1,0,1,1
